customer_id,full_name,email,phone,city,segment,created_at
1,Aryan Maharaj,kapurbalveer@example.org,3843221563,Delhi,VALUE,2024-07-27
2,Udant Dewan,dalaja80@example.org,6825238154,Kolkata,PREMIUM,2024-11-08
3,Gagan Sami,wableekaraj@example.net,9955755383,Pune,PREMIUM,2026-02-13
4,Ayushman Chander,tsachar@example.com,4139074432,Hyderabad,VALUE,2024-04-02
5,Viraj Tiwari,raghavdada@example.net,0222123703,Hyderabad,VALUE,2024-04-07
6,Rushil Saini,banikyochana@example.org,0260052061,Kolkata,GROWTH,2024-09-28
7,Saumya Mall,kallarehaan@example.com,0697775323,Delhi,PREMIUM,2025-06-26
8,Nathaniel Sami,gjhaveri@example.com,7364217857,Pune,PREMIUM,2025-12-27
9,Arunima Dugal,vivaansankar@example.net,4369174238,Mumbai,PREMIUM,2025-05-21
10,Gayathri Chaudry,dsuresh@example.com,9180981745,Delhi,GROWTH,2025-03-20
11,Lajita Chatterjee,sulefrederick@example.org,3700410233,Chennai,VALUE,2026-02-22
12,Hemangini Lalla,georgecontractor@example.net,4116927703,Jaipur,GROWTH,2024-06-03
13,Tripti Yadav,cmannan@example.com,3649036571,Pune,VALUE,2026-03-22
14,Kritika Brar,choudhurywilliam@example.net,2931901018,Kolkata,PREMIUM,2024-10-08
15,Janaki Handa,nathanbajaj@example.org,5744870381,Pune,VALUE,2024-09-05
16,Chakradev Kari,adya95@example.com,7490792328,Kolkata,VALUE,2026-05-08
17,Fariq Kaul,tailorfaraj@example.com,3623057620,Chennai,GROWTH,2025-08-04
18,Lajita Mall,wraman@example.org,9318585218,Mumbai,GROWTH,2025-01-23
19,Janya Gaba,wsetty@example.net,9563948742,Kolkata,GROWTH,2024-10-24
20,Isha Kadakia,ishitasharaf@example.org,9093426926,Hyderabad,GROWTH,2025-02-01
21,Ekbal Garg,faqidpurohit@example.net,8304105458,Chennai,NEW,2025-12-13
22,Nihal Shere,jacobramesh@example.org,9377286756,Bengaluru,NEW,2024-05-17
23,Anamika Kanda,widishathakur@example.net,3457107178,Mumbai,NEW,2024-06-05
24,Daksh Karnik,chanderchristopher@example.com,0264722314,Jaipur,GROWTH,2024-10-01
25,Diya Rattan,mbalasubramanian@example.net,2076579667,Kolkata,GROWTH,2025-03-09
26,Dominic Kakar,djha@example.com,4344776236,Pune,GROWTH,2026-01-03
27,Simon Tata,bshenoy@example.org,7861204597,Hyderabad,GROWTH,2024-07-08
28,Tara Dhar,avni69@example.com,0495069251,Kolkata,VALUE,2025-12-08
29,Liam Koshy,tkorpal@example.org,5652927813,Chennai,GROWTH,2026-03-27
30,Priya Rastogi,tejasshenoy@example.org,4677933839,Hyderabad,VALUE,2025-01-26
31,Theodore Devi,tailorhritik@example.net,8626314135,Hyderabad,VALUE,2026-05-15
32,Gavin Batta,aditya09@example.com,8514120119,Mumbai,NEW,2026-03-15
33,Michael Dutta,mahalchanakya@example.net,3685237476,Delhi,VALUE,2025-12-18
